,Unnamed: 0,deterministic,surrogate_1,surrogate_0,surrogate_2
158,158,199368.18081593735,198851.8640987795,196500.45684664717,198681.6508052226
159,159,219899.9320224094,219014.4515396548,217562.60982304515,219795.0258082848
160,160,201406.1720474969,200823.0619507078,198654.98995618612,200862.64364220185
161,161,208984.97851733147,208392.0071118283,206315.45658108089,208517.5443043199
162,162,202633.33006894196,202099.78601816297,199923.7804031454,202134.41396637828
163,163,202794.14461189092,202192.91128562315,200033.51836147023,202220.7021608023
164,164,238044.7781617132,244563.3402093692,236620.5890629244,236536.45637279423
165,165,209137.79120013973,208407.3493007289,206591.2786724946,208817.00004878416
166,166,215848.14131141108,214860.26703040532,213597.4384837449,215854.43515895543
167,167,207906.4876724669,206737.30282194528,206003.06862384797,208322.3856852464
168,168,225940.89076878352,226168.4423877669,239779.5206325003,230574.06141655068
169,169,208000.8598133104,207100.65999049763,205640.4044234541,207887.23716097025
170,170,207540.4212387777,206927.18190882856,204823.9810568021,207027.27546099568
171,171,215289.3515094637,214021.0658311924,213435.1269741236,215743.62779533956
172,172,206948.38222788303,205609.3804109393,205210.7171185709,207541.30396757464
173,173,218369.34774602123,216753.9248611844,217039.9760727521,219354.04627131447
174,174,205849.2420156601,204735.49729294676,203790.75716257637,206080.03088235657
175,175,206289.5561888699,205046.29075341468,204384.98569774276,206696.1799878276
176,176,197801.81268383889,197265.3454046672,195030.08981996705,197236.96220802225
177,177,196772.7223054263,197322.84328270316,192545.14470923587,194552.5187559773
178,178,301087.66882772336,304905.2165983368,304837.9932403348,307080.921386766
179,179,204671.48704980445,203986.25232450195,201995.291402496,204201.715087194
180,180,254458.13041993216,256931.7943635831,256935.0946433762,261319.71016825587
181,181,224045.60024903956,228771.43710258324,231073.9169080515,223686.29809377337
182,182,199703.6861627108,199037.67772173692,197188.1875090298,199431.6016086582
183,183,207125.3324605891,206110.0233026954,204938.5947464037,207210.20009754645
184,184,232795.90873502745,235690.98625161184,246862.4049159581,235797.11816474985
185,185,227149.6462448369,227678.13078268451,237656.6387496997,230464.82119577852
186,186,209519.9390129727,208485.45191140805,207339.1159759433,209608.9752571008
187,187,217191.0289118889,216310.97555510252,214871.53376155277,217113.93221160443
188,188,200140.03600343515,200063.6783294154,196795.8028324879,198916.0167865766
189,189,217003.75685326933,215886.767392072,214953.57872186624,217226.53591083104
190,190,209239.0889560528,208010.04654886443,207318.38570963085,209620.84494647564
191,191,212620.9989387228,211114.2496393703,211038.53329467296,213385.89807888932
192,192,199321.9234041829,199324.9864191105,195761.8439182742,197851.7083598742
193,193,183134.69834887853,183746.06377473185,178888.74910175888,180898.2115064129
194,194,212319.564363454,211327.92432908143,210085.56620079337,212335.2390800818
195,195,209552.8929839992,208260.93342351585,207706.7472714065,210029.05787475265
196,196,220151.0366124196,218622.2002255333,218626.0416900013,220976.79253735847
197,197,217555.49141100745,216153.0704935624,215880.44703873488,218212.55480246025
198,198,207786.6783413104,207047.57663032756,205208.14269415295,207422.5717106792
199,199,205435.4858069565,204353.1891138828,203353.857652517,205640.30901444552
